prefectures, gdp
Tokyo, 8.105
aichi, 5.475
shizuoka, 4.957
shiga, 4.954
ibaraki, 4.885
gunma, 4.840
hukui, 4.814
tochigi, 4.797
yamaguchi, 4.755
toyama, 4.739
mie, 4.653
osaka, 4.602
tokushima, 4.505
yamanashi, 4.385
hukushima, 4.325
hiroshima, 4.276
miyagi, 4.215
ishikawa, 4.207
kyoto, 4.169
kagawa, 4.167
okayama, 4.145
nigata, 4.136
nagano, 4.120
yamagata, 4.053
hyogo, 4.047
wakayama, 4.005
oita, 3.994
gihu, 3.984
shimane, 3.966
iwate, 3.957
saga, 3.940
hukuoka, 3.844
hokkaido, 3.827
ehime, 3.803
kanagawa, 3.780
akita, 3.740
kumamoto, 3.619
nagasaki, 3.612
aomori, 3.592
kagoshima, 3.565
kochi, 3.484
miyazaki, 3.412
tottori, 3.378
chiba, 3.338
saitama, 3.201
okinawa, 3.082
nara, 2.938
